   index0       index1    |    s.val    
     0             'C'      |      0      
     0           Infinity   |      0      
     0             'R'      |      0      
     1             'C'      |      0      
     1           Infinity   |      0      
     1             'R'      |      0      
     2             'C'      |      0      
     2           Infinity   |      0      
     2             'R'      |      0      
     3             'C'      | 6.6080474425689317e-13
     3           Infinity   |      0      
     3             'R'      |     333     
     4             'C'      | 442.00000000000068
     4           Infinity   |      0      
     4             'R'      |     227     
     5             'C'      | 385.00000000000074
     5           Infinity   |      0      
     5             'R'      |     114     
     6             'C'      | 323.00000000000074
     6           Infinity   |      0      
     6             'R'      |      0      
     7             'C'      | 259.00000000000068
     7           Infinity   |      0      
     7             'R'      |      0      
     8             'C'      | 193.99999999999713
     8           Infinity   |      0      
     8             'R'      |      0      
     9             'C'      | 132.99999999999758
     9           Infinity   |      0      
     9             'R'      |     349     
     10            'C'      | 69.999999999997556
     10          Infinity   |      0      
     10            'R'      |     235     
     11            'C'      |      0      
     11          Infinity   |     415     
     11            'R'      |     116     
     12            'C'      |      0      
     12          Infinity   |     384     
     12            'R'      |      0      
     13            'C'      | 1.3358203432289883e-12
     13          Infinity   |     361     
     13            'R'      |      0      
     14            'C'      | 9.5923269327613525e-13
     14          Infinity   |     333     
     14            'R'      |     368     
     15            'C'      | 435.00000000000119
     15          Infinity   |     299     
     15            'R'      |     249     
     16            'C'      | 365.00000000000097
     16          Infinity   |     269     
     16            'R'      |     126     
     17            'C'      | 296.00000000000131
     17          Infinity   |     242     
     17            'R'      |      0      
     18            'C'      | 224.99999999999719
     18          Infinity   |     205     
     18            'R'      |      0      
     19            'C'      | 148.99999999999801
     19          Infinity   | 175.99999999999994
     19            'R'      |     378     
     20            'C'      | 77.999999999997314
     20          Infinity   | 144.99999999999994
     20            'R'      |     249     
     21            'C'      |      0      
     21          Infinity   | 109.99999999999999
     21            'R'      |     128     
     22            'C'      |      0      
     22          Infinity   | 76.999999999999986
     22            'R'      |      0      
     23            'C'      |      0      
     23          Infinity   | 37.999999999999986
     23            'R'      |      0      
     24            'C'      |      0      
     24          Infinity   |      0      
     24            'R'      | 387.00000000000011
     25            'C'      |     414     
     25          Infinity   |      0      
     25            'R'      |     256     
     26            'C'      |     334     
     26          Infinity   |      0      
     26            'R'      | 127.99999999999999
     27            'C'      | 254.99999999999997
     27          Infinity   |      0      
     27            'R'      |      0      
     28            'C'      |     169     
     28          Infinity   |      0      
     28            'R'      |      0      
     29            'C'      |      87     
     29          Infinity   |      0      
     29            'R'      |     408     
     30            'C'      |      0      
     30          Infinity   |      0      
     30            'R'      |     274     
     31            'C'      |      0      
     31          Infinity   |     448     
     31            'R'      | 133.99999999999997
     32            'C'      |      0      
     32          Infinity   |     401     
     32            'R'      |      0      
     33            'C'      |     438     
     33          Infinity   |     358     
     33            'R'      |      0      
     34            'C'      |     345     
     34          Infinity   |     307     
     34            'R'      | 456.00000000000227
     35            'C'      |     257     
     35          Infinity   |     257     
     35            'R'      |     318     
     36            'C'      |     206     
     36          Infinity   |     239     
     36            'R'      | 210.99999999999883
     37            'C'      |     155     
     37          Infinity   |     222     
     37            'R'      |     106     
     38            'C'      |     105     
     38          Infinity   |     207     
     38            'R'      |      0      
     39            'C'      |      53     
     39          Infinity   | 194.99999999999997
     39            'R'      |      0      
     40            'C'      |      0      
     40          Infinity   | 184.99999999999997
     40            'R'      |      0      
     41            'C'      |      0      
     41          Infinity   | 174.99999999999997
     41            'R'      | 418.00000000000006
     42            'C'      |      0      
     42          Infinity   | 157.99999999999997
     42            'R'      | 314.00000000000011
     43            'C'      |      0      
     43          Infinity   | 144.99999999999997
     43            'R'      | 208.00000000000011
     44            'C'      |      0      
     44          Infinity   |     127     
     44            'R'      | 108.00000000000011
     45            'C'      | 394.99999999999994
     45          Infinity   |     116     
     45            'R'      |      0      
     46            'C'      | 335.99999999999994
     46          Infinity   |      97     
     46            'R'      |      0      
     47            'C'      |     283     
     47          Infinity   |      83     
     47            'R'      |      0      
     48            'C'      | 223.99999999999997
     48          Infinity   |      68     
     48            'R'      | 416.99999999999989
     49            'C'      |     165     
     49          Infinity   |      51     
     49            'R'      |     317     
     50            'C'      | 110.99999999999999
     50          Infinity   |      34     
     50            'R'      |     208     
     51            'C'      |      52     
     51          Infinity   |      17     
     51            'R'      |     107     
     52            'C'      |      0      
     52          Infinity   |      0      
     52            'R'      |      0      

