   index0       index1    |  delay.val  
     0             'C'      |      0      
     0           Infinity   |      0      
     0             'R'      |      0      
     1             'C'      |      59     
     1           Infinity   |      16     
     1             'R'      | 107.99999999999999
     2             'C'      |     114     
     2           Infinity   | 37.000000000000021
     2             'R'      |     214     
     3             'C'      | 172.99999999999952
     3           Infinity   | 53.000000000000021
     3             'R'      |      0      
     4             'C'      |      0      
     4           Infinity   |      75     
     4             'R'      |      0      
     5             'C'      |      0      
     5           Infinity   | 91.999999999999986
     5             'R'      |      0      
     6             'C'      |      0      
     6           Infinity   | 114.99999999999999
     6             'R'      |      0      
     7             'C'      |      0      
     7           Infinity   |     135     
     7             'R'      | 109.99999999999997
     8             'C'      | 3.4461322684364859e-13
     8           Infinity   |     157     
     8             'R'      |     221     
     9             'C'      | 7.9580786405131221e-13
     9           Infinity   |     181     
     9             'R'      |      0      
     10            'C'      |      0      
     10          Infinity   |     207     
     10            'R'      |      0      
     11            'C'      |      0      
     11          Infinity   |      0      
     11            'R'      |      0      
     12            'C'      | 67.999999999999957
     12          Infinity   |      0      
     12            'R'      |      0      
     13            'C'      | 137.00000000000131
     13          Infinity   |      0      
     13            'R'      | 115.99999999999999
     14            'C'      | 202.00000000000102
     14          Infinity   |      0      
     14            'R'      |      0      
     15            'C'      |      0      
     15          Infinity   |      0      
     15            'R'      |      0      
     16            'C'      |      0      
     16          Infinity   |      0      
     16            'R'      |      0      
     17            'C'      |      0      
     17          Infinity   |      0      
     17            'R'      |      0      
     18            'C'      |      0      
     18          Infinity   |      0      
     18            'R'      | 125.99999999999999
     19            'C'      | 6.8922645368729718e-13
     19          Infinity   |      0      
     19            'R'      |      0      
     20            'C'      |      0      
     20          Infinity   |      0      
     20            'R'      |      0      
     21            'C'      |      0      
     21          Infinity   |      0      
     21            'R'      |      0      
     22            'C'      | 78.000000000002686
     22          Infinity   |      0      
     22            'R'      |      0      
     23            'C'      | 151.00000000000287
     23          Infinity   |      0      
     23            'R'      |     124     
     24            'C'      | 228.00000000000287
     24          Infinity   |      0      
     24            'R'      |      0      
     25            'C'      |      0      
     25          Infinity   | 35.000000000000028
     25            'R'      |      0      
     26            'C'      |      0      
     26          Infinity   | 71.000000000000028
     26            'R'      |      0      
     27            'C'      |      0      
     27          Infinity   |     113     
     27            'R'      |      0      
     28            'C'      |      0      
     28          Infinity   | 160.00000000000003
     28            'R'      | 131.00000000000006
     29            'C'      |      0      
     29          Infinity   | 202.00000000000003
     29            'R'      |      0      
     30            'C'      |      0      
     30          Infinity   | 251.00000000000003
     30            'R'      |      0      
     31            'C'      |      89     
     31          Infinity   |      0      
     31            'R'      |      0      
     32            'C'      | 178.99999999999997
     32          Infinity   |      0      
     32            'R'      |      0      
     33            'C'      |      0      
     33          Infinity   |      0      
     33            'R'      |     134     
     34            'C'      |      0      
     34          Infinity   |      0      
     34            'R'      |      0      
     35            'C'      |      0      
     35          Infinity   |      0      
     35            'R'      |      0      
     36            'C'      |      0      
     36          Infinity   |      0      
     36            'R'      |      0      
     37            'C'      |      0      
     37          Infinity   |      0      
     37            'R'      |      0      
     38            'C'      |      0      
     38          Infinity   |      0      
     38            'R'      |      0      
     39            'C'      |      0      
     39          Infinity   |      0      
     39            'R'      | 102.99999999999997
     40            'C'      |      0      
     40          Infinity   |      0      
     40            'R'      | 203.99999999999883
     41            'C'      | 50.999999999999837
     41          Infinity   |      0      
     41            'R'      |      0      
     42            'C'      | 109.99999999999993
     42          Infinity   |      0      
     42            'R'      |      0      
     43            'C'      |     168     
     43          Infinity   |      0      
     43            'R'      |      0      
     44            'C'      |     227     
     44          Infinity   |      0      
     44            'R'      |      0      
     45            'C'      |      0      
     45          Infinity   |      0      
     45            'R'      |      0      
     46            'C'      |      0      
     46          Infinity   |      0      
     46            'R'      |     101     
     47            'C'      |      0      
     47          Infinity   |      0      
     47            'R'      | 205.99999999999997
     48            'C'      |      0      
     48          Infinity   |      0      
     48            'R'      |      0      
     49            'C'      |      0      
     49          Infinity   |      0      
     49            'R'      |      0      
     50            'C'      |      0      
     50          Infinity   |      0      
     50            'R'      |      0      
     51            'C'      |      0      
     51          Infinity   |      0      
     51            'R'      |      0      
     52            'C'      |      0      
     52          Infinity   |      0      
     52            'R'      |      0      

